Group,Soft Cap Period,User cost center name,Billing code - description,B/W print (A4),B/W copy (A4),Color print (A4),Color copy (A4),One Color print (A4),One Color copy (A4),One Color print (A3),One Color copy (A3),Local B/W print (A4),Local color print (A4),B/W print (A3),B/W copy (A3),Color print (A3),Color copy (A3),Local copy (A4),B/W A3,Color A3,B/W A4,Color A/4,B/W pages,Color pages,Total
Faculty & Researcher,AY 22-23, 1st,affiliate,researcher,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,52,0,52
Student,AY 22-23, 1st,student,degree,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,52,0,52
Student,AY 22-23, 1st,student,degree,46,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,6,46,6,52
Student,AY 22-23, 1st,student,degree,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,52,0,52
Faculty & Researcher,AY 22-23, 1st,affiliate,researcher,7,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,45,7,45,52
Student,AY 22-23, 1st,student,degree,6,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,46,6,46,52
Others,AY 22-23, 1st,Default cost center,--Unknown billing code--,20,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,32,20,32,52
Student,AY 22-23, 1st,student,degree,40,0,0,0,0,0,0,0,0,0,6,0,6,0,0,6,6,40,0,46,6,52
Others,AY 22-23, 1st,student,--Unknown billing code--,28,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,24,28,24,52
Student,AY 22-23, 1st,student,degree,25,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,27,25,27,52
Student,AY 22-23, 1st,student,degree,22,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,30,22,30,52
Student,AY 22-23, 1st,student,degree,10,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,41,10,41,51
Staff,AY 22-23, 1st,affiliate,administrator,10,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,41,10,41,51
Faculty & Researcher,AY 22-23, 1st,affiliate,researcher,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,51,0,51
Faculty & Researcher,AY 22-23, 1st,student,researcher,47,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,48,3,48,3,51
Faculty & Researcher,AY 22-23, 1st,affiliate,faculty,50,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,50,1,50,1,51
Staff,AY 22-23, 1st,affiliate,administrator,39,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,39,12,39,12,51
Student,AY 22-23, 1st,student,degree,28,10,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,13,38,13,51
Student,AY 22-23, 1st,student,degree,13,0,35,2,0,0,0,0,0,0,0,0,0,1,0,0,1,13,37,13,38,51
Faculty & Researcher,AY 22-23, 1st,affiliate,researcher,45,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,51,0,51
Staff,AY 22-23, 1st,affiliate,contractor,1,28,5,17,0,0,0,0,0,0,0,0,0,0,0,0,0,29,22,29,22,51
Others,AY 22-23, 1st,student,--Unknown billing code--,25,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,26,25,26,51
Staff,AY 22-23, 1st,affiliate,contractor,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,51,51
Student,AY 22-23, 1st,student,degree,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,51,0,51
Student,AY 22-23, 1st,student,degree,22,0,15,0,0,0,0,0,0,0,1,0,13,0,0,1,13,22,15,23,28,51
Faculty & Researcher,AY 22-23, 1st,student,researcher,50,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,1,50,1,51
Others,AY 22-23, 1st,affiliate,--Unknown billing code--,35,14,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,49,2,49,2,51
Staff,AY 22-23, 1st,affiliate,administrator,3,5,35,7,0,0,0,0,0,0,0,0,0,0,0,0,0,8,42,8,42,50
Staff,AY 22-23, 1st,affiliate,contractor,10,0,5,25,0,0,0,0,0,0,0,0,0,10,0,0,10,10,30,10,40,50
Faculty & Researcher,AY 22-23, 1st,student,adjunct faculty,1,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,49,1,49,50
Student,AY 22-23, 1st,student,degree,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,50,0,50
Others,AY 22-23, 1st,student,--Unknown billing code--,46,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,4,46,4,50
Staff,AY 22-23, 1st,affiliate,ad_employee_of_vendor,2,4,1,13,0,0,0,0,0,0,29,0,1,0,0,29,1,6,14,35,15,50
Staff,AY 22-23, 1st,affiliate,administrator,33,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,17,33,17,50
Faculty & Researcher,AY 22-23, 1st,affiliate,research_affiliate,21,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,29,21,29,50
Staff,AY 22-23, 1st,affiliate,ad_contingent,32,0,12,0,0,0,0,0,0,0,0,0,6,0,0,0,6,32,12,32,18,50
Student,AY 22-23, 1st,student,degree,28,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,22,28,22,50
Faculty & Researcher,AY 22-23, 1st,affiliate,researcher,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,50,0,50
Faculty & Researcher,AY 22-23, 1st,affiliate,faculty,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,50,0,50
Faculty & Researcher,AY 22-23, 1st,affiliate,faculty,43,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,7,43,7,50
Others,AY 22-23, 1st,student,--Unknown billing code--,35,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,14,35,14,49
Student,AY 22-23, 1st,student,degree,17,1,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,18,31,18,31,49
Student,AY 22-23, 1st,student,degree,10,1,27,11,0,0,0,0,0,0,0,0,0,0,0,0,0,11,38,11,38,49
Staff,AY 22-23, 1st,affiliate,administrator,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,49,0,49
Student,AY 22-23, 1st,student,degree,15,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,34,15,34,49
Student,AY 22-23, 1st,student,degree,41,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,49,0,49
Student,AY 22-23, 1st,student,degree,11,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,38,11,38,49
Student,AY 22-23, 1st,student,degree,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,49,0,49
Faculty & Researcher,AY 22-23, 1st,student,researcher,11,1,20,17,0,0,0,0,0,0,0,0,0,0,0,0,0,12,37,12,37,49
Student,AY 22-23, 1st,student,degree,34,0,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,34,15,34,15,49
Student,AY 22-23, 1st,student,degree,20,8,16,5,0,0,0,0,0,0,0,0,0,0,0,0,0,28,21,28,21,49
Staff,AY 22-23, 1st,affiliate,contractor,9,0,6,0,0,0,0,0,0,0,33,1,0,0,0,34,0,9,6,43,6,49
Staff,AY 22-23, 1st,affiliate,administrator,45,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,46,3,46,3,49
Staff,AY 22-23, 1st,affiliate,contractor,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,49,49
Student,AY 22-23, 1st,student,degree,45,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,4,45,4,49
Student,AY 22-23, 1st,student,degree,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,49,0,49
Staff,AY 22-23, 1st,affiliate,ad_contingent,0,29,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,29,20,29,20,49
Student,AY 22-23, 1st,student,degree,34,0,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,34,15,34,15,49
Student,AY 22-23, 1st,student,degree,17,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,32,17,32,49
Faculty & Researcher,AY 22-23, 1st,affiliate,researcher,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,49,0,49
Staff,AY 22-23, 1st,affiliate,contractor,0,2,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,47,2,47,49
Student,AY 22-23, 1st,student,degree,5,0,42,0,0,0,0,0,0,0,0,0,1,0,0,0,1,5,42,5,43,48
Staff,AY 22-23, 1st,affiliate,ad_employee_of_vendor,0,1,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,1,47,1,47,48
Student,AY 22-23, 1st,student,degree,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,48,0,48
Student,AY 22-23, 1st,student,degree,5,0,40,0,0,0,0,0,0,0,0,0,3,0,0,0,3,5,40,5,43,48
Student,AY 22-23, 1st,student,degree,38,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,10,38,10,48
Staff,AY 22-23, 1st,affiliate,administrator,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,48,0,48
Faculty & Researcher,AY 22-23, 1st,affiliate,faculty,46,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,46,2,46,2,48
Student,AY 22-23, 1st,student,degree,30,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,18,30,18,48
Staff,AY 22-23, 1st,affiliate,administrator,1,0,0,0,0,0,0,0,0,0,6,0,41,0,0,6,41,1,0,7,41,48
Student,AY 22-23, 1st,student,degree,32,0,10,2,0,0,0,0,0,0,2,0,2,0,0,2,2,32,12,34,14,48
Faculty & Researcher,AY 22-23, 1st,affiliate,faculty,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,48,0,48
Staff,AY 22-23, 1st,affiliate,contractor,3,0,16,27,0,0,0,0,0,0,1,0,1,0,0,1,1,3,43,4,44,48
Student,AY 22-23, 1st,student,degree,47,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,47,1,47,1,48
Student,AY 22-23, 1st,student,degree,10,0,22,0,0,0,0,0,0,0,1,0,15,0,0,1,15,10,22,11,37,48
Staff,AY 22-23, 1st,affiliate,contractor,0,4,3,41,0,0,0,0,0,0,0,0,0,0,0,0,0,4,44,4,44,48
Student,AY 22-23, 1st,student,degree,21,0,21,0,0,0,0,0,0,0,0,0,6,0,0,0,6,21,21,21,27,48
Student,AY 22-23, 1st,student,degree,27,0,17,4,0,0,0,0,0,0,0,0,0,0,0,0,0,27,21,27,21,48
Student,AY 22-23, 1st,student,degree,37,0,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,37,11,37,11,48
Student,AY 22-23, 1st,student,degree,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,48,0,48
Others,AY 22-23, 1st,student,--Unknown billing code--,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,48,0,48
Student,AY 22-23, 1st,student,degree,21,0,24,3,0,0,0,0,0,0,0,0,0,0,0,0,0,21,27,21,27,48
Student,AY 22-23, 1st,affiliate,degree,7,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,41,7,41,48
Student,AY 22-23, 1st,student,degree,13,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,35,13,35,48
Staff,AY 22-23, 1st,affiliate,security_staff,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,48,48
Student,AY 22-23, 1st,student,degree,32,0,14,0,0,0,0,0,0,0,0,0,1,0,0,0,1,32,14,32,15,47
Staff,AY 22-23, 1st,affiliate,administrator,5,41,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,1,46,1,47
Student,AY 22-23, 1st,student,degree,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,47,0,47
Faculty & Researcher,AY 22-23, 1st,student,researcher,28,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,19,28,19,47
Student,AY 22-23, 1st,student,degree,35,0,10,0,0,0,0,0,0,0,0,0,2,0,0,0,2,35,10,35,12,47
Others,AY 22-23, 1st,student,--Unknown billing code--,18,0,22,0,0,0,0,0,0,0,1,0,6,0,0,1,6,18,22,19,28,47
Faculty & Researcher,AY 22-23, 1st,affiliate,researcher,46,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,1,46,1,47
Student,AY 22-23, 1st,student,degree,32,0,13,0,0,0,0,0,0,0,0,0,2,0,0,0,2,32,13,32,15,47
Faculty & Researcher,AY 22-23, 1st,affiliate,researcher,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,47,0,47
Others,AY 22-23, 1st,student,--Unknown billing code--,35,0,1,10,0,0,0,0,0,0,0,0,1,0,0,0,1,35,11,35,12,47
Student,AY 22-23, 1st,student,degree,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,47,0,47
Faculty & Researcher,AY 22-23, 1st,affiliate,researcher,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,47,0,47
Staff,AY 22-23, 1st,affiliate,contractor,0,6,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,6,41,6,41,47
Student,AY 22-23, 1st,student,degree,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,47,0,47
Staff,AY 22-23, 1st,affiliate,administrator,5,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,41,5,41,46
Others,AY 22-23, 1st,student,--Unknown billing code--,35,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,11,35,11,46
Others,AY 22-23, 1st,affiliate,employee_family_member,45,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,45,0,45,1,46
Student,AY 22-23, 1st,student,degree,44,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,2,44,2,46
Staff,AY 22-23, 1st,affiliate,administrator,28,0,11,7,0,0,0,0,0,0,0,0,0,0,0,0,0,28,18,28,18,46
Staff,AY 22-23, 1st,affiliate,contractor,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,46,46
Faculty & Researcher,AY 22-23, 1st,affiliate,faculty,23,0,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,23,23,23,23,46
Staff,AY 22-23, 1st,affiliate,contractor,44,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,2,44,2,46
Student,AY 22-23, 1st,student,degree,32,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,14,32,14,46
Staff,AY 22-23, 1st,affiliate,contractor,3,0,4,31,0,0,0,0,0,0,1,0,7,0,0,1,7,3,35,4,42,46
Staff,AY 22-23, 1st,affiliate,contractor,21,5,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,26,20,26,20,46
Student,AY 22-23, 1st,student,degree,5,1,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,40,6,40,46
Staff,AY 22-23, 1st,affiliate,contractor,12,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,34,12,34,46
Faculty & Researcher,AY 22-23, 1st,student,adjunct faculty,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,46,0,46
Faculty & Researcher,AY 22-23, 1st,student,researcher,41,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,5,41,5,46
Faculty & Researcher,AY 22-23, 1st,student,researcher,4,18,0,2,0,0,0,0,0,0,19,1,0,2,0,20,2,22,2,42,4,46
Staff,AY 22-23, 1st,affiliate,administrator,16,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,30,16,30,46
Staff,AY 22-23, 1st,affiliate,administrator,22,0,21,0,0,0,0,0,0,0,0,0,3,0,0,0,3,22,21,22,24,46
Faculty & Researcher,AY 22-23, 1st,affiliate,faculty,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,46,0,46
Staff,AY 22-23, 1st,affiliate,administrator,40,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,40,5,40,5,45
Staff,AY 22-23, 1st,affiliate,administrator,23,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,22,23,22,45
Staff,AY 22-23, 1st,affiliate,contractor,2,0,12,31,0,0,0,0,0,0,0,0,0,0,0,0,0,2,43,2,43,45
Student,AY 22-23, 1st,student,degree,29,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,16,29,16,45
Student,AY 22-23, 1st,student,degree,8,0,3,0,0,0,0,0,0,0,16,0,18,0,0,16,18,8,3,24,21,45
Faculty & Researcher,AY 22-23, 1st,affiliate,researcher,43,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,43,2,43,2,45
Staff,AY 22-23, 1st,affiliate,security_staff,17,0,26,1,0,0,0,0,0,0,0,0,1,0,0,0,1,17,27,17,28,45
Student,AY 22-23, 1st,student,degree,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,45,0,45
Student,AY 22-23, 1st,student,degree,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,45,0,45
Student,AY 22-23, 1st,student,degree,34,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,37,8,37,8,45
Faculty & Researcher,AY 22-23, 1st,affiliate,researcher,43,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,43,2,43,2,45
Staff,AY 22-23, 1st,affiliate,contractor,0,20,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,20,25,20,25,45
Student,AY 22-23, 1st,student,degree,7,0,37,0,0,0,0,0,0,0,0,0,1,0,0,0,1,7,37,7,38,45
Others,AY 22-23, 1st,student,--Unknown billing code--,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,45,0,45
Staff,AY 22-23, 1st,affiliate,contractor,2,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,43,2,43,45
Student,AY 22-23, 1st,student,degree,19,0,21,0,0,0,0,0,0,0,3,0,2,0,0,3,2,19,21,22,23,45
Others,AY 22-23, 1st,student,--Unknown billing code--,3,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,42,3,42,45
Staff,AY 22-23, 1st,affiliate,ad_contingent,0,14,16,14,0,0,0,0,0,0,0,0,0,0,0,0,0,14,30,14,30,44
Student,AY 22-23, 1st,student,degree,29,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,15,29,15,44
Student,AY 22-23, 1st,student,degree,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,44,0,44
Student,AY 22-23, 1st,student,degree,7,0,1,0,0,0,0,0,0,0,0,0,36,0,0,0,36,7,1,7,37,44
Faculty & Researcher,AY 22-23, 1st,affiliate,researcher,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,44,0,44
Staff,AY 22-23, 1st,affiliate,administrator,6,27,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,33,11,33,11,44
Staff,AY 22-23, 1st,affiliate,administrator,16,6,6,14,0,0,0,0,0,0,2,0,0,0,0,2,0,22,20,24,20,44
Student,AY 22-23, 1st,student,degree,23,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,21,23,21,44
Staff,AY 22-23, 1st,affiliate,administrator,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,44,0,44
Student,AY 22-23, 1st,student,degree,13,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,31,13,31,44
Staff,AY 22-23, 1st,affiliate,administrator,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,44,0,44
Staff,AY 22-23, 1st,affiliate,contractor,0,0,0,41,0,0,0,0,0,0,0,0,3,0,0,0,3,0,41,0,44,44
Student,AY 22-23, 1st,student,degree,12,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,32,12,32,44
Staff,AY 22-23, 1st,affiliate,security_staff,33,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,11,33,11,44
Student,AY 22-23, 1st,student,degree,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,43,0,43
Staff,AY 22-23, 1st,affiliate,contractor,7,0,29,7,0,0,0,0,0,0,0,0,0,0,0,0,0,7,36,7,36,43
Student,AY 22-23, 1st,student,degree,25,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,18,25,18,43
Staff,AY 22-23, 1st,affiliate,contractor,0,0,20,1,0,0,0,0,0,0,0,0,22,0,0,0,22,0,21,0,43,43
Student,AY 22-23, 1st,student,degree,38,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,5,38,5,43
Staff,AY 22-23, 1st,affiliate,security_staff,2,0,29,12,0,0,0,0,0,0,0,0,0,0,0,0,0,2,41,2,41,43
Others,AY 22-23, 1st,affiliate,--Unknown billing code--,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,43,0,43
Student,AY 22-23, 1st,student,degree,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,43,0,43
Staff,AY 22-23, 1st,affiliate,contractor,2,20,3,18,0,0,0,0,0,0,0,0,0,0,0,0,0,22,21,22,21,43
Staff,AY 22-23, 1st,affiliate,ad_contingent,0,0,3,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,43,43
Staff,AY 22-23, 1st,student,administrator,32,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,11,32,11,43
Student,AY 22-23, 1st,student,degree,5,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,38,5,38,43
Student,AY 22-23, 1st,student,student on leave,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,43,0,43
Student,AY 22-23, 1st,student,degree,1,28,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,29,14,29,14,43
Staff,AY 22-23, 1st,affiliate,contractor,12,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,31,12,31,43
Faculty & Researcher,AY 22-23, 1st,affiliate,faculty,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,43,0,43
Faculty & Researcher,AY 22-23, 1st,student,researcher,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,43,43
Student,AY 22-23, 1st,student,degree,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,42,0,42
Student,AY 22-23, 1st,student,degree,11,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,31,11,31,42
Student,AY 22-23, 1st,student,degree,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,42,0,42
Faculty & Researcher,AY 22-23, 1st,affiliate,faculty,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,42,0,42
Others,AY 22-23, 1st,affiliate,ad_executive_authority,1,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,41,1,41,42
Others,AY 22-23, 1st,student,--Unknown billing code--,35,0,6,0,0,0,0,0,0,0,1,0,0,0,0,1,0,35,6,36,6,42
Others,AY 22-23, 1st,student,--Unknown billing code--,38,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,3,39,3,42
Faculty & Researcher,AY 22-23, 1st,affiliate,faculty,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,42,0,42
Student,AY 22-23, 1st,affiliate,degree,27,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,15,27,15,42
Student,AY 22-23, 1st,student,degree,26,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,14,28,14,42
Faculty & Researcher,AY 22-23, 1st,affiliate,visiting_scholar,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,42,0,42
Student,AY 22-23, 1st,student,degree,33,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,9,33,9,42
Staff,AY 22-23, 1st,affiliate,administrator,15,5,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,22,20,22,42
Others,AY 22-23, 1st,affiliate,--Unknown billing code--,11,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,31,11,31,42
Faculty & Researcher,AY 22-23, 1st,student,researcher,27,0,13,0,0,0,0,0,0,0,0,0,2,0,0,0,2,27,13,27,15,42
Faculty & Researcher,AY 22-23, 1st,affiliate,faculty,26,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,12,30,12,42
Staff,AY 22-23, 1st,affiliate,contractor,2,0,34,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,40,2,40,42
Student,AY 22-23, 1st,student,degree,28,0,5,1,0,0,0,0,0,0,2,0,6,0,0,2,6,28,6,30,12,42
Faculty & Researcher,AY 22-23, 1st,affiliate,researcher,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,42,0,42
Student,AY 22-23, 1st,student,degree,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,42,42
Others,AY 22-23, 1st,student,--Unknown billing code--,20,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,22,20,22,42
Student,AY 22-23, 1st,student,degree,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,41,0,41
Student,AY 22-23, 1st,student,degree,29,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,12,29,12,41
Others,AY 22-23, 1st,student,--Unknown billing code--,27,0,10,1,0,0,0,0,0,0,0,0,2,1,0,0,3,27,11,27,14,41
Staff,AY 22-23, 1st,affiliate,administrator,16,0,24,0,0,0,0,0,0,0,0,0,1,0,0,0,1,16,24,16,25,41
Staff,AY 22-23, 1st,affiliate,contractor,11,1,26,3,0,0,0,0,0,0,0,0,0,0,0,0,0,12,29,12,29,41
Staff,AY 22-23, 1st,affiliate,administrator,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,41,0,41
Staff,AY 22-23, 1st,affiliate,administrator,4,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,37,4,37,41
Student,AY 22-23, 1st,student,degree,15,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,26,15,26,41
Staff,AY 22-23, 1st,affiliate,administrator,13,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,28,13,28,41
Staff,AY 22-23, 1st,affiliate,administrator,0,2,0,31,0,0,0,0,0,0,0,8,0,0,0,8,0,2,31,10,31,41
Faculty & Researcher,AY 22-23, 1st,affiliate,researcher,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,41,0,41
Staff,AY 22-23, 1st,affiliate,administrator,17,0,22,0,0,0,0,0,0,0,0,0,2,0,0,0,2,17,22,17,24,41
Staff,AY 22-23, 1st,affiliate,contractor,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,40,40
Staff,AY 22-23, 1st,affiliate,contractor,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,40,0,40
Faculty & Researcher,AY 22-23, 1st,affiliate,faculty,4,0,29,6,0,0,0,0,0,0,0,0,0,1,0,0,1,4,35,4,36,40
Faculty & Researcher,AY 22-23, 1st,student,researcher,38,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,2,38,2,40
Student,AY 22-23, 1st,student,degree,1,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,39,1,39,40
