time,outdoor_PM2.5_conc_(µg/m3),outdoor_US_AQI,outdoor_category,c2_PM2.5_conc_(µg/m3),c2_US_AQI,c2_category,d2_PM2.5_conc_(µg/m3),d2_US_AQI,d2_category
2022-04-11,,,No Data,,,No Data,,,No Data
2022-04-12,,,No Data,,,No Data,,,No Data
2022-04-13,,,No Data,,,No Data,,,No Data
2022-04-14,,,No Data,,,No Data,,,No Data
2022-04-15,,,No Data,,,No Data,,,No Data
2022-04-16,,,No Data,,,No Data,,,No Data
2022-04-17,,,No Data,,,No Data,,,No Data
2022-04-18,,,No Data,,,No Data,,,No Data
2022-04-19,,,No Data,,,No Data,,,No Data
2022-04-20,46.1,127,Unhealthy for Sensitive Groups,5.7,23,Good,14.7,56,Moderate
2022-04-21,58.5,152,Unhealthy,6.9,28,Good,16.4,60,Moderate
2022-04-22,67.8,157,Unhealthy,9.8,40,Good,21.8,71,Moderate
2022-04-23,76.7,161,Unhealthy,12.3,51,Moderate,22.1,72,Moderate
2022-04-24,58.5,152,Unhealthy,8.1,33,Good,15.5,58,Moderate
2022-04-25,35.7,101,Unhealthy for Sensitive Groups,4.9,20,Good,14.4,55,Moderate
2022-04-26,40.3,112,Unhealthy for Sensitive Groups,5.7,23,Good,13.4,53,Moderate
2022-04-27,19.8,67,Moderate,2.7,11,Good,9.5,39,Good
2022-04-28,17.2,61,Moderate,2.3,9,Good,9.2,38,Good
2022-04-29,37.3,105,Unhealthy for Sensitive Groups,4.1,17,Good,10.5,43,Good
2022-04-30,17.1,61,Moderate,1.7,7,Good,5.9,24,Good
2022-05-01,22.4,72,Moderate,2.2,9,Good,5.2,21,Good
2022-05-02,28.8,86,Moderate,3.6,15,Good,6.4,26,Good
2022-05-03,55.7,151,Unhealthy,2.8,11,Good,8.6,35,Good
2022-05-04,23,73,Moderate,3,12,Good,6.5,27,Good
2022-05-05,30.2,89,Moderate,4.2,17,Good,9,37,Good
2022-05-06,41.5,115,Unhealthy for Sensitive Groups,4.1,17,Good,12.6,52,Moderate
2022-05-07,29.2,86,Moderate,2.5,10,Good,6.5,27,Good
2022-05-08,24.7,77,Moderate,2.1,8,Good,6.1,25,Good
2022-05-09,13.4,53,Moderate,1.4,5,Good,5.8,24,Good
2022-05-10,20.3,68,Moderate,2.4,10,Good,9.3,38,Good
2022-05-11,18.7,64,Moderate,2.2,9,Good,11.8,49,Good
2022-05-12,17.3,61,Moderate,1.8,7,Good,13.3,53,Moderate
2022-05-13,21.2,70,Moderate,2,8,Good,12.5,51,Moderate
2022-05-14,31.7,92,Moderate,2.2,9,Good,4.8,20,Good
2022-05-15,50,136,Unhealthy for Sensitive Groups,2.8,11,Good,5.8,24,Good
2022-05-16,28.9,86,Moderate,3.1,12,Good,12.2,51,Moderate
2022-05-17,104.8,176,Unhealthy,5.9,24,Good,13.8,54,Moderate
2022-05-18,89.3,168,Unhealthy,8.2,34,Good,12.7,52,Moderate
2022-05-19,32.3,93,Moderate,2.5,10,Good,9,37,Good
2022-05-20,18.7,64,Moderate,1.9,7,Good,6.5,27,Good
2022-05-21,28.2,84,Moderate,3,12,Good,5.1,21,Good
2022-05-22,25.8,79,Moderate,2.5,10,Good,4.6,19,Good
2022-05-23,29,86,Moderate,2.9,12,Good,12.6,52,Moderate
2022-05-24,80.1,163,Unhealthy,4.7,19,Good,15.1,57,Moderate
2022-05-25,60.3,153,Unhealthy,3.7,15,Good,11.5,47,Good
2022-05-26,18.5,64,Moderate,2.1,8,Good,7.9,32,Good
2022-05-27,20.1,67,Moderate,2.1,8,Good,8.8,36,Good
2022-05-28,22.1,72,Moderate,1.7,7,Good,3.5,14,Good
2022-05-29,21.2,70,Moderate,2.4,10,Good,4.6,19,Good
2022-05-30,29.4,87,Moderate,5.5,22,Good,14,54,Moderate
2022-05-31,42.9,119,Unhealthy for Sensitive Groups,4.7,19,Good,9.7,40,Good
2022-06-01,68.9,157,Unhealthy,7.4,30,Good,14.5,56,Moderate
2022-06-02,30.3,89,Moderate,2.6,10,Good,7.6,31,Good
2022-06-03,38.1,107,Unhealthy for Sensitive Groups,3.3,13,Good,8.6,35,Good
2022-06-04,67.7,157,Unhealthy,8.7,36,Good,11.6,48,Good
2022-06-05,113.1,180,Unhealthy,16.5,60,Moderate,20.1,67,Moderate
2022-06-06,100.6,174,Unhealthy,13.7,54,Moderate,20.7,69,Moderate
2022-06-07,53.7,145,Unhealthy for Sensitive Groups,6.8,28,Good,12.7,52,Moderate
2022-06-08,38.5,108,Unhealthy for Sensitive Groups,4.1,17,Good,9.8,40,Good
2022-06-09,63,154,Unhealthy,8.4,35,Good,14.9,56,Moderate
2022-06-10,77.7,162,Unhealthy,10.3,42,Good,18.4,64,Moderate
2022-06-11,19.4,66,Moderate,2,8,Good,4.2,17,Good
2022-06-12,24.5,77,Moderate,2.2,9,Good,5.2,21,Good
2022-06-13,36.7,103,Unhealthy for Sensitive Groups,3.1,12,Good,9.6,40,Good
2022-06-14,35.6,101,Unhealthy for Sensitive Groups,2.7,11,Good,7.2,30,Good
2022-06-15,40.6,113,Unhealthy for Sensitive Groups,4.5,18,Good,9,37,Good
2022-06-16,83.2,165,Unhealthy,11.5,47,Good,17.7,62,Moderate
2022-06-17,31.9,92,Moderate,4,16,Good,9,37,Good
2022-06-18,44.9,124,Unhealthy for Sensitive Groups,4.4,18,Good,7.4,30,Good
2022-06-19,45.9,126,Unhealthy for Sensitive Groups,4.9,20,Good,7.5,31,Good
2022-06-20,41.5,115,Unhealthy for Sensitive Groups,3.9,16,Good,8.1,33,Good
2022-06-21,51.4,140,Unhealthy for Sensitive Groups,7.1,29,Good,12.7,52,Moderate
2022-06-22,71.3,159,Unhealthy,11.4,47,Good,18.4,64,Moderate
2022-06-23,61.8,154,Unhealthy,7.6,31,Good,11.7,48,Good
2022-06-24,41.7,116,Unhealthy for Sensitive Groups,3.1,12,Good,6.9,28,Good
2022-06-25,51.6,140,Unhealthy for Sensitive Groups,3.9,16,Good,6.4,26,Good
2022-06-26,48.7,133,Unhealthy for Sensitive Groups,5.5,22,Good,9.1,37,Good
2022-06-27,45.1,124,Unhealthy for Sensitive Groups,5.1,21,Good,11,45,Good
2022-06-28,34.8,98,Moderate,3.3,13,Good,6.1,25,Good
2022-06-29,46.8,128,Unhealthy for Sensitive Groups,4.3,17,Good,8.3,34,Good
2022-06-30,43.1,119,Unhealthy for Sensitive Groups,7.4,30,Good,10.8,45,Good
2022-07-01,59.9,153,Unhealthy,11.3,47,Good,15.6,58,Moderate
2022-07-02,44.8,123,Unhealthy for Sensitive Groups,7.6,31,Good,11.9,49,Good
2022-07-03,34.8,98,Moderate,7.5,31,Good,9.3,38,Good
2022-07-04,42.8,118,Unhealthy for Sensitive Groups,7.2,30,Good,10.2,42,Good
2022-07-05,42.5,118,Unhealthy for Sensitive Groups,5.8,24,Good,6.7,27,Good
2022-07-06,37.1,104,Unhealthy for Sensitive Groups,5.7,23,Good,8.9,37,Good
2022-07-07,15.7,58,Moderate,2,8,Good,2.6,10,Good
2022-07-08,6.6,27,Good,1.1,4,Good,1.7,7,Good
2022-07-09,6.4,26,Good,0.9,3,Good,1.4,5,Good
2022-07-10,9.5,39,Good,1.3,5,Good,2.1,8,Good
2022-07-11,5.2,21,Good,0.7,2,Good,1.1,4,Good
2022-07-12,8,33,Good,1.2,5,Good,1.9,7,Good
2022-07-13,12.6,52,Moderate,1.9,7,Good,2.9,12,Good
2022-07-14,34.1,97,Moderate,4.4,18,Good,8.4,35,Good
2022-07-15,49.4,135,Unhealthy for Sensitive Groups,7.2,30,Good,11.9,49,Good
2022-07-16,29.1,86,Moderate,4.1,17,Good,5.2,21,Good
2022-07-17,36.1,102,Unhealthy for Sensitive Groups,4.8,20,Good,,,No Data
2022-07-18,23.3,74,Moderate,3.2,13,Good,,,No Data
2022-07-19,24.2,76,Moderate,3.2,13,Good,4.8,20,Good
2022-07-20,12.6,52,Moderate,2.1,8,Good,6,25,Good
2022-07-21,11.1,46,Good,1.7,7,Good,2.7,11,Good
2022-07-22,13.9,54,Moderate,2.4,10,Good,4.2,17,Good
2022-07-23,13.1,53,Moderate,1.9,7,Good,3.8,15,Good
2022-07-24,21.8,71,Moderate,3,12,Good,3.9,16,Good
2022-07-25,25.9,80,Moderate,5.2,21,Good,4.4,18,Good
2022-07-26,30.5,89,Moderate,3.4,14,Good,,,No Data
2022-07-27,12.5,51,Moderate,2,8,Good,1.2,5,Good
2022-07-28,12.3,51,Moderate,1.2,5,Good,2.3,9,Good
2022-07-29,12.2,51,Moderate,1.6,6,Good,1.5,6,Good
2022-07-30,14.6,56,Moderate,1.6,6,Good,3,12,Good
2022-07-31,13.9,54,Moderate,1.9,7,Good,3.1,12,Good
2022-08-01,14,54,Moderate,2.6,10,Good,3.4,14,Good
2022-08-02,11.9,49,Good,2.3,9,Good,3.5,14,Good
2022-08-03,22.5,72,Moderate,4.3,17,Good,6.6,27,Good
2022-08-04,45.1,124,Unhealthy for Sensitive Groups,10.1,42,Good,17.6,62,Moderate
2022-08-05,50.5,137,Unhealthy for Sensitive Groups,9,37,Good,13.8,54,Moderate
2022-08-06,46,126,Unhealthy for Sensitive Groups,11.5,47,Good,19,65,Moderate
2022-08-07,32.3,93,Moderate,6.3,26,Good,9.4,39,Good
2022-08-08,30,88,Moderate,5,20,Good,7.8,32,Good
2022-08-09,42.3,117,Unhealthy for Sensitive Groups,7.2,30,Good,10.5,43,Good
2022-08-10,67.8,157,Unhealthy,13.9,54,Moderate,29.7,88,Moderate
2022-08-11,64.8,155,Unhealthy,15.5,58,Moderate,21.5,70,Moderate
2022-08-12,59.9,153,Unhealthy,15.7,58,Moderate,24.4,76,Moderate
2022-08-13,25.7,79,Moderate,4.6,19,Good,,,No Data
2022-08-14,93.5,170,Unhealthy,14.8,56,Moderate,,,No Data
2022-08-15,44,121,Unhealthy for Sensitive Groups,10.3,42,Good,6,25,Good
2022-08-16,38.9,109,Unhealthy for Sensitive Groups,6.5,27,Good,11,45,Good
2022-08-17,71.1,159,Unhealthy,12.4,51,Moderate,20.1,67,Moderate
2022-08-18,62.3,154,Unhealthy,14.7,56,Moderate,29.7,88,Moderate
2022-08-19,48.4,132,Unhealthy for Sensitive Groups,10,41,Good,17,61,Moderate
2022-08-20,38.7,108,Unhealthy for Sensitive Groups,6.9,28,Good,11.2,46,Good
2022-08-21,37.4,105,Unhealthy for Sensitive Groups,6.5,27,Good,11.8,49,Good
2022-08-22,37.7,106,Unhealthy for Sensitive Groups,5.5,22,Good,13.3,53,Moderate
2022-08-23,34.7,98,Moderate,4.8,20,Good,11.4,47,Good
2022-08-24,30.4,89,Moderate,4.6,19,Good,10.2,42,Good
2022-08-25,19.2,65,Moderate,2.9,12,Good,7.7,32,Good
2022-08-26,13.1,53,Moderate,1.8,7,Good,6.4,26,Good
2022-08-27,17.3,61,Moderate,1.8,7,Good,10.7,44,Good
2022-08-28,14.5,56,Moderate,1.9,7,Good,11.7,48,Good
2022-08-29,20.8,69,Moderate,2.4,10,Good,12.3,51,Moderate
2022-08-30,18,63,Moderate,2.5,10,Good,10.9,45,Good
2022-08-31,14.6,56,Moderate,2,8,Good,12.6,52,Moderate
2022-09-01,27.7,83,Moderate,3.2,13,Good,18,63,Moderate
2022-09-02,80.3,163,Unhealthy,13,52,Moderate,32.4,93,Moderate
2022-09-03,37,104,Unhealthy for Sensitive Groups,8.6,35,Good,19.7,66,Moderate
2022-09-04,23.9,75,Moderate,2.4,10,Good,13.6,54,Moderate
2022-09-05,13.6,54,Moderate,2.4,10,Good,11,45,Good
2022-09-06,12.8,52,Moderate,2.3,9,Good,,,No Data
2022-09-07,19.7,66,Moderate,2.5,10,Good,,,No Data
2022-09-08,21.4,70,Moderate,3.6,15,Good,29,86,Moderate
2022-09-09,24.4,76,Moderate,3,12,Good,17,61,Moderate
2022-09-10,33.2,95,Moderate,4.4,18,Good,8.5,35,Good
2022-09-11,43.5,120,Unhealthy for Sensitive Groups,7.4,30,Good,,,No Data
2022-09-12,83.9,165,Unhealthy,15.5,58,Moderate,47.6,130,Unhealthy for Sensitive Groups
2022-09-13,84.8,166,Unhealthy,17.5,62,Moderate,40.1,112,Unhealthy for Sensitive Groups
2022-09-14,,,No Data,9.8,40,Good,24.5,77,Moderate
2022-09-15,,,No Data,7.3,30,Good,21.1,69,Moderate
2022-09-16,,,No Data,7.4,30,Good,16.4,60,Moderate
2022-09-17,,,No Data,2.4,10,Good,11.2,46,Good
2022-09-18,,,No Data,4,16,Good,13.7,54,Moderate
2022-09-19,,,No Data,5.6,23,Good,18.2,63,Moderate
2022-09-20,27.5,83,Moderate,3.7,15,Good,13.2,53,Moderate
2022-09-21,26.4,81,Moderate,3.4,14,Good,11.1,46,Good
2022-09-22,30.2,89,Moderate,3.2,13,Good,11.7,48,Good
2022-09-23,47.5,130,Unhealthy for Sensitive Groups,7.8,32,Good,17.3,61,Moderate
2022-09-24,54.3,147,Unhealthy for Sensitive Groups,9.1,37,Good,25.2,78,Moderate
2022-09-25,39.6,111,Unhealthy for Sensitive Groups,5.8,24,Good,21.7,71,Moderate
2022-09-26,51.9,141,Unhealthy for Sensitive Groups,8.3,34,Good,20.7,69,Moderate
2022-09-27,65.2,156,Unhealthy,12.1,51,Moderate,33.1,95,Moderate
2022-09-28,23.5,74,Moderate,5.8,24,Good,18.1,63,Moderate
2022-09-29,21.3,70,Moderate,2.9,12,Good,13.1,53,Moderate
2022-09-30,41,114,Unhealthy for Sensitive Groups,6.4,26,Good,17.7,62,Moderate
2022-10-01,38.1,107,Unhealthy for Sensitive Groups,6.6,27,Good,20.2,68,Moderate
2022-10-02,51.6,140,Unhealthy for Sensitive Groups,10.4,43,Good,31.9,92,Moderate
2022-10-03,56.9,151,Unhealthy,11.2,46,Good,28.6,85,Moderate
2022-10-04,35.7,101,Unhealthy for Sensitive Groups,4.9,20,Good,14.8,56,Moderate
2022-10-05,43.6,120,Unhealthy for Sensitive Groups,5.8,24,Good,20.7,69,Moderate
2022-10-06,72.3,159,Unhealthy,11.2,46,Good,28.3,85,Moderate
2022-10-07,91.4,169,Unhealthy,11,45,Good,27.1,82,Moderate
2022-10-08,12.8,52,Moderate,1.6,6,Good,11.6,48,Good
2022-10-09,14.4,55,Moderate,2,8,Good,13.5,53,Moderate
2022-10-10,19.7,66,Moderate,2.9,12,Good,11.7,48,Good
2022-10-11,46.5,128,Unhealthy for Sensitive Groups,8,33,Good,21.2,70,Moderate
2022-10-12,79.1,163,Unhealthy,13.7,54,Moderate,34.6,98,Moderate
2022-10-13,46.2,127,Unhealthy for Sensitive Groups,8,33,Good,19.4,66,Moderate
2022-10-14,38.4,108,Unhealthy for Sensitive Groups,5,20,Good,15.5,58,Moderate
2022-10-15,37.9,106,Unhealthy for Sensitive Groups,5,20,Good,19.1,65,Moderate
2022-10-16,47.4,130,Unhealthy for Sensitive Groups,6.6,27,Good,21.6,70,Moderate
2022-10-17,54.2,147,Unhealthy for Sensitive Groups,8.2,34,Good,21.5,70,Moderate
2022-10-18,69.1,158,Unhealthy,11.6,48,Good,27.9,84,Moderate
2022-10-19,49,134,Unhealthy for Sensitive Groups,7.6,31,Good,18.1,63,Moderate
2022-10-20,49.8,136,Unhealthy for Sensitive Groups,7.6,31,Good,19.9,67,Moderate
2022-10-21,59.8,153,Unhealthy,9,37,Good,21.4,70,Moderate
2022-10-22,53.9,146,Unhealthy for Sensitive Groups,8,33,Good,25.8,79,Moderate
2022-10-23,50.9,138,Unhealthy for Sensitive Groups,6.9,28,Good,23.9,75,Moderate
2022-10-24,41.5,115,Unhealthy for Sensitive Groups,5.9,24,Good,19,65,Moderate
2022-10-25,50.5,137,Unhealthy for Sensitive Groups,7.4,30,Good,22.4,72,Moderate
2022-10-26,57.1,151,Unhealthy,8.9,37,Good,24.9,77,Moderate
2022-10-27,65.2,156,Unhealthy,11.3,47,Good,25.3,78,Moderate
2022-10-28,81.6,164,Unhealthy,13.8,54,Moderate,32.7,94,Moderate
2022-10-29,78.3,162,Unhealthy,11.3,47,Good,34.1,97,Moderate
2022-10-30,82.8,165,Unhealthy,10.9,45,Good,35.2,99,Moderate
2022-10-31,93.3,170,Unhealthy,12.2,51,Moderate,37,104,Unhealthy for Sensitive Groups
2022-11-01,103.2,175,Unhealthy,13.9,54,Moderate,40.7,113,Unhealthy for Sensitive Groups
2022-11-02,79.6,163,Unhealthy,9.9,41,Good,30.9,90,Moderate
2022-11-03,71.6,159,Unhealthy,8.5,35,Good,23.6,75,Moderate
2022-11-04,30.7,90,Moderate,4.9,20,Good,15.7,58,Moderate
2022-11-05,29.5,87,Moderate,3.9,16,Good,13.3,53,Moderate
2022-11-06,20.5,68,Moderate,3.4,14,Good,18.5,64,Moderate
2022-11-07,29.2,86,Moderate,3.9,16,Good,15.6,58,Moderate
2022-11-08,34.8,98,Moderate,4.2,17,Good,14,54,Moderate
2022-11-09,76.6,161,Unhealthy,3.4,14,Good,12,50,Good
2022-11-10,32.6,94,Moderate,3.7,15,Good,12.3,51,Moderate
2022-11-11,35,99,Moderate,3.5,14,Good,11.2,46,Good
2022-11-12,42.1,117,Unhealthy for Sensitive Groups,4.1,17,Good,14.6,56,Moderate
2022-11-13,51.9,141,Unhealthy for Sensitive Groups,7.1,29,Good,24.9,77,Moderate
2022-11-14,14,54,Moderate,2.3,9,Good,10,41,Good
2022-11-15,11.5,47,Good,1.9,7,Good,10.1,42,Good
2022-11-16,17.4,62,Moderate,3,12,Good,12.5,51,Moderate
2022-11-17,41.8,116,Unhealthy for Sensitive Groups,5.8,24,Good,18.5,64,Moderate
2022-11-18,41.3,115,Unhealthy for Sensitive Groups,4.5,18,Good,13.1,53,Moderate
2022-11-19,50.5,137,Unhealthy for Sensitive Groups,5,20,Good,18.6,64,Moderate
2022-11-20,28.1,84,Moderate,2.6,10,Good,18.5,64,Moderate
2022-11-21,18.7,64,Moderate,2.6,10,Good,10.5,43,Good
2022-11-22,37.5,105,Unhealthy for Sensitive Groups,4.7,19,Good,18.9,65,Moderate
2022-11-23,19.2,65,Moderate,2.3,9,Good,14.6,56,Moderate
2022-11-24,30.1,88,Moderate,3.4,14,Good,13.6,54,Moderate
2022-11-25,28.5,85,Moderate,4.4,18,Good,14.6,56,Moderate
2022-11-26,24,76,Moderate,2.7,11,Good,19.9,67,Moderate
2022-11-27,23.8,75,Moderate,2.6,10,Good,18.8,65,Moderate
2022-11-28,29.8,88,Moderate,3.4,14,Good,14.4,55,Moderate
2022-11-29,48,131,Unhealthy for Sensitive Groups,4.7,19,Good,17.8,62,Moderate
2022-11-30,50.8,138,Unhealthy for Sensitive Groups,4.8,20,Good,16.9,61,Moderate
2022-12-01,52.4,142,Unhealthy for Sensitive Groups,5.3,22,Good,17.5,62,Moderate
2022-12-02,38.1,107,Unhealthy for Sensitive Groups,4.8,20,Good,19.1,65,Moderate
2022-12-03,35,99,Moderate,3.8,15,Good,15.8,58,Moderate
2022-12-04,42.3,117,Unhealthy for Sensitive Groups,4.6,19,Good,18.1,63,Moderate
2022-12-05,29.4,87,Moderate,2.8,11,Good,11.6,48,Good
2022-12-06,44.4,122,Unhealthy for Sensitive Groups,3.2,13,Good,13.3,53,Moderate
2022-12-07,50.1,136,Unhealthy for Sensitive Groups,3.6,15,Good,13.8,54,Moderate
2022-12-08,46.2,127,Unhealthy for Sensitive Groups,3.7,15,Good,14.8,56,Moderate
2022-12-09,26,80,Moderate,,,No Data,8.9,37,Good
2022-12-10,20.3,68,Moderate,,,No Data,9.2,38,Good
2022-12-11,27.4,83,Moderate,,,No Data,16.8,60,Moderate
2022-12-12,19.6,66,Moderate,2.9,12,Good,12.6,52,Moderate
2022-12-13,26.8,81,Moderate,5.6,23,Good,10.8,45,Good
2022-12-14,32.8,94,Moderate,4.4,18,Good,10.9,45,Good
2022-12-15,33,94,Moderate,4.1,17,Good,12.2,51,Moderate
2022-12-16,32.6,94,Moderate,3.7,15,Good,9.5,39,Good
2022-12-17,48.9,133,Unhealthy for Sensitive Groups,5.6,23,Good,16.8,60,Moderate
2022-12-18,31.1,90,Moderate,3.4,14,Good,14,54,Moderate
2022-12-19,38.1,107,Unhealthy for Sensitive Groups,4.3,17,Good,16.7,60,Moderate
2022-12-20,23.2,74,Moderate,2.7,11,Good,12.2,51,Moderate
2022-12-21,19.3,66,Moderate,2.5,10,Good,3.4,14,Good
2022-12-22,33.7,96,Moderate,2.8,11,Good,4.6,19,Good
2022-12-23,27.1,82,Moderate,2.9,12,Good,4.6,19,Good
2022-12-24,26.9,82,Moderate,2.1,8,Good,3.4,14,Good
2022-12-25,27.8,84,Moderate,2,8,Good,3.3,13,Good
2022-12-26,29.2,86,Moderate,2.4,10,Good,4.1,17,Good
2022-12-27,46.2,127,Unhealthy for Sensitive Groups,2,8,Good,4.7,19,Good
2022-12-28,33.4,95,Moderate,3.1,12,Good,5.1,21,Good
2022-12-29,11.2,46,Good,2.2,9,Good,3,12,Good
2022-12-30,13.2,53,Moderate,2.3,9,Good,3,12,Good
2022-12-31,15.3,57,Moderate,2.8,11,Good,4.2,17,Good
2023-01-01,25,78,Moderate,3.4,14,Good,5.8,24,Good
2023-01-02,29.3,87,Moderate,4.3,17,Good,7.2,30,Good
2023-01-03,18.1,63,Moderate,2.1,8,Good,6,25,Good
2023-01-04,18.8,65,Moderate,1.9,7,Good,6.3,26,Good
2023-01-05,32.6,94,Moderate,1.8,7,Good,9.7,40,Good
2023-01-06,24.6,77,Moderate,1.9,7,Good,9.2,38,Good
2023-01-07,10.4,43,Good,0.9,3,Good,4.4,18,Good
2023-01-08,15.1,57,Moderate,1.5,6,Good,8.7,36,Good
2023-01-09,40.2,112,Unhealthy for Sensitive Groups,5.4,22,Good,11.6,48,Good
2023-01-10,69.1,158,Unhealthy,4.8,20,Good,11.5,47,Good
2023-01-11,29.1,86,Moderate,4.4,18,Good,9.6,40,Good
2023-01-12,29,86,Moderate,3.9,16,Good,9.7,40,Good
2023-01-13,19.3,66,Moderate,1.3,5,Good,6,25,Good
2023-01-14,12.3,51,Moderate,0.9,3,Good,6.3,26,Good
2023-01-15,11.8,49,Good,1,4,Good,6.7,27,Good
2023-01-16,17.5,62,Moderate,1.5,6,Good,6,25,Good
2023-01-17,74.9,161,Unhealthy,7.1,29,Good,15.4,57,Moderate
2023-01-18,41.7,116,Unhealthy for Sensitive Groups,6,25,Good,12.8,52,Moderate
2023-01-19,34,97,Moderate,,,No Data,11.4,47,Good
2023-01-20,28.6,85,Moderate,3.5,14,Good,12.3,51,Moderate
2023-01-21,13.3,53,Moderate,1.8,7,Good,8.1,33,Good
2023-01-22,13.3,53,Moderate,1.9,7,Good,8.5,35,Good
2023-01-23,26.4,81,Moderate,2.4,10,Good,9.7,40,Good
2023-01-24,19.4,66,Moderate,2,8,Good,11.5,47,Good
2023-01-25,26.6,81,Moderate,2.3,9,Good,12.3,51,Moderate
2023-01-26,24.6,77,Moderate,2.2,9,Good,17.8,62,Moderate
2023-01-27,18.1,63,Moderate,2.3,9,Good,18.3,64,Moderate
2023-01-28,19.5,66,Moderate,3.1,12,Good,14.4,55,Moderate
2023-01-29,36.1,102,Unhealthy for Sensitive Groups,5.7,23,Good,23.7,75,Moderate
2023-01-30,62.5,154,Unhealthy,10.4,43,Good,27.3,82,Moderate
2023-01-31,56.9,151,Unhealthy,7.4,30,Good,19.5,66,Moderate
2023-02-01,48.1,132,Unhealthy for Sensitive Groups,3.7,15,Good,13.6,54,Moderate
2023-02-02,49,134,Unhealthy for Sensitive Groups,3.3,13,Good,14.7,56,Moderate
2023-02-03,66.2,156,Unhealthy,6.1,25,Good,28.8,86,Moderate
2023-02-04,24.1,76,Moderate,1.5,6,Good,14.4,55,Moderate
2023-02-05,18,63,Moderate,1.8,7,Good,22.2,72,Moderate
2023-02-06,33.8,96,Moderate,2.5,10,Good,12.1,51,Moderate
2023-02-07,65.3,156,Unhealthy,3.4,14,Good,14.8,56,Moderate
2023-02-08,82.7,165,Unhealthy,6.9,28,Good,19,65,Moderate
2023-02-09,50.3,137,Unhealthy for Sensitive Groups,1.6,6,Good,13.1,53,Moderate
2023-02-10,15.9,58,Moderate,1.9,7,Good,13.3,53,Moderate
2023-02-11,10,41,Good,1.9,7,Good,14.9,56,Moderate
2023-02-12,42.8,118,Unhealthy for Sensitive Groups,6.5,27,Good,21.5,70,Moderate
2023-02-13,22.7,73,Moderate,2.1,8,Good,14.5,56,Moderate
2023-02-14,36.7,103,Unhealthy for Sensitive Groups,2.3,9,Good,14.5,56,Moderate
2023-02-15,83.3,165,Unhealthy,3.1,12,Good,14.9,56,Moderate
2023-02-16,40,112,Unhealthy for Sensitive Groups,2.6,10,Good,15.4,57,Moderate
2023-02-17,44.3,122,Unhealthy for Sensitive Groups,4.2,17,Good,13.5,53,Moderate
2023-02-18,48.1,132,Unhealthy for Sensitive Groups,1.3,5,Good,9.7,40,Good
2023-02-19,24.5,77,Moderate,2.5,10,Good,13.2,53,Moderate
2023-02-20,22.6,73,Moderate,3.3,13,Good,11,45,Good
2023-02-21,21.7,71,Moderate,3.8,15,Good,12.6,52,Moderate
2023-02-22,20.5,68,Moderate,4.1,17,Good,14.2,55,Moderate
2023-02-23,41.5,115,Unhealthy for Sensitive Groups,6.3,26,Good,19,65,Moderate
2023-02-24,52.5,142,Unhealthy for Sensitive Groups,5.4,22,Good,12.4,51,Moderate
2023-02-25,68.1,157,Unhealthy,4.8,20,Good,15.6,58,Moderate
2023-02-26,42.2,117,Unhealthy for Sensitive Groups,4.1,17,Good,16.5,60,Moderate
2023-02-27,42.3,117,Unhealthy for Sensitive Groups,7.1,29,Good,29.3,87,Moderate
2023-02-28,47.5,130,Unhealthy for Sensitive Groups,6.2,25,Good,25.1,78,Moderate
2023-03-01,54.7,148,Unhealthy for Sensitive Groups,9.3,38,Good,16.8,60,Moderate
2023-03-02,57,151,Unhealthy,9.5,39,Good,18.1,63,Moderate
2023-03-03,64.8,155,Unhealthy,11.8,49,Good,21.8,71,Moderate
2023-03-04,65.7,156,Unhealthy,12.4,51,Moderate,23.3,74,Moderate
2023-03-05,108.5,178,Unhealthy,19.6,66,Moderate,34.2,97,Moderate
2023-03-06,88.8,168,Unhealthy,21.7,71,Moderate,31,90,Moderate
2023-03-07,79.7,163,Unhealthy,17,61,Moderate,24.6,77,Moderate
2023-03-08,99,173,Unhealthy,20.8,69,Moderate,31.2,91,Moderate
2023-03-09,60.7,153,Unhealthy,6.5,27,Good,18.6,64,Moderate
2023-03-10,44.7,123,Unhealthy for Sensitive Groups,3.9,16,Good,14.7,56,Moderate
2023-03-11,34.3,97,Moderate,5,20,Good,16.4,60,Moderate
2023-03-12,37,104,Unhealthy for Sensitive Groups,5.7,23,Good,16.5,60,Moderate
2023-03-13,47.6,130,Unhealthy for Sensitive Groups,6.1,25,Good,19,65,Moderate
2023-03-14,44.3,122,Unhealthy for Sensitive Groups,6,25,Good,21.7,71,Moderate
2023-03-15,43.1,119,Unhealthy for Sensitive Groups,7.1,29,Good,16,59,Moderate
2023-03-16,51.4,140,Unhealthy for Sensitive Groups,9.2,38,Good,19.4,66,Moderate
2023-03-17,25.3,78,Moderate,2,8,Good,13.1,53,Moderate
2023-03-18,16.9,61,Moderate,1.7,7,Good,19.7,66,Moderate
2023-03-19,19.1,65,Moderate,3.3,13,Good,13.6,54,Moderate
2023-03-20,26.1,80,Moderate,4.6,19,Good,12.5,51,Moderate
2023-03-21,31.5,91,Moderate,3.4,14,Good,15.8,58,Moderate
2023-03-22,7.3,30,Good,1.2,5,Good,4.2,17,Good
2023-03-23,11.1,46,Good,3.2,13,Good,5.5,22,Good
2023-03-24,23,73,Moderate,5.4,22,Good,12.6,52,Moderate
